degree_age_range,state,degree,age_range,estimate,margin_of_error
25_to_39_years_Literature_and_Languages,Nebraska,Literature_and_Languages,25_to_39_years,53995,4875
25_to_39_years_Liberal_Arts_and_History,Nebraska,Liberal_Arts_and_History,25_to_39_years,56866,10192
25_to_39_years_Visual_and_Performing_Arts,Nebraska,Visual_and_Performing_Arts,25_to_39_years,42284,7023
25_to_39_years_Communications,Nebraska,Communications,25_to_39_years,50273,15215
25_to_39_years_Other,Nebraska,Other,25_to_39_years,55725,5235
40_to_64_years_40_to_64_years,Nebraska,40_to_64_years,40_to_64_years,74921,2535
40_to_64_years_Computers_Mathematics_and_Statistics,Nebraska,Computers_Mathematics_and_Statistics,40_to_64_years,117601,14029
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,Nebraska,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,89601,8842
40_to_64_years_Physical_and_Related_Sciences,Nebraska,Physical_and_Related_Sciences,40_to_64_years,85030,22737
40_to_64_years_Psychology,Nebraska,Psychology,40_to_64_years,66838,10424
40_to_64_years_Social_Sciences,Nebraska,Social_Sciences,40_to_64_years,72003,19020
40_to_64_years_Engineering,Nebraska,Engineering,40_to_64_years,115404,9977
40_to_64_years_Multidisciplinary_Studies,Nebraska,Multidisciplinary_Studies,40_to_64_years,53023,34812
40_to_64_years_Science_and_Engineering_Related_Fields,Nebraska,Science_and_Engineering_Related_Fields,40_to_64_years,80626,5211
40_to_64_years_Business,Nebraska,Business,40_to_64_years,84958,5835
40_to_64_years_Education,Nebraska,Education,40_to_64_years,61295,2397
40_to_64_years_Literature_and_Languages,Nebraska,Literature_and_Languages,40_to_64_years,66445,11367
40_to_64_years_Liberal_Arts_and_History,Nebraska,Liberal_Arts_and_History,40_to_64_years,74829,21206
40_to_64_years_Visual_and_Performing_Arts,Nebraska,Visual_and_Performing_Arts,40_to_64_years,52005,3708
40_to_64_years_Communications,Nebraska,Communications,40_to_64_years,54218,7281
40_to_64_years_Other,Nebraska,Other,40_to_64_years,57673,4246
Total,Nevada,Total,Total,65967,2144
25_to_39_years_25_to_39_years,Nevada,25_to_39_years,25_to_39_years,59359,2233
25_to_39_years_Computers_Mathematics_and_Statistics,Nevada,Computers_Mathematics_and_Statistics,25_to_39_years,73875,9667
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Nevada,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,60812,10978
25_to_39_years_Physical_and_Related_Sciences,Nevada,Physical_and_Related_Sciences,25_to_39_years,72622,27593
25_to_39_years_Psychology,Nevada,Psychology,25_to_39_years,50474,6396
25_to_39_years_Social_Sciences,Nevada,Social_Sciences,25_to_39_years,63056,13218
25_to_39_years_Engineering,Nevada,Engineering,25_to_39_years,81026,8020
25_to_39_years_Multidisciplinary_Studies,Nevada,Multidisciplinary_Studies,25_to_39_years,53750,46222
25_to_39_years_Science_and_Engineering_Related_Fields,Nevada,Science_and_Engineering_Related_Fields,25_to_39_years,64475,6645
25_to_39_years_Business,Nevada,Business,25_to_39_years,63632,4775
25_to_39_years_Education,Nevada,Education,25_to_39_years,51141,1273
25_to_39_years_Literature_and_Languages,Nevada,Literature_and_Languages,25_to_39_years,46662,9829
25_to_39_years_Liberal_Arts_and_History,Nevada,Liberal_Arts_and_History,25_to_39_years,37952,13444
25_to_39_years_Visual_and_Performing_Arts,Nevada,Visual_and_Performing_Arts,25_to_39_years,40637,11941
25_to_39_years_Communications,Nevada,Communications,25_to_39_years,69668,10341
25_to_39_years_Other,Nevada,Other,25_to_39_years,54141,3104
40_to_64_years_40_to_64_years,Nevada,40_to_64_years,40_to_64_years,73301,2071
40_to_64_years_Computers_Mathematics_and_Statistics,Nevada,Computers_Mathematics_and_Statistics,40_to_64_years,81971,11378
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,Nevada,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,95859,21279
40_to_64_years_Physical_and_Related_Sciences,Nevada,Physical_and_Related_Sciences,40_to_64_years,84963,19779
40_to_64_years_Psychology,Nevada,Psychology,40_to_64_years,76599,5670
40_to_64_years_Social_Sciences,Nevada,Social_Sciences,40_to_64_years,76490,8390
40_to_64_years_Engineering,Nevada,Engineering,40_to_64_years,86757,14692
40_to_64_years_Multidisciplinary_Studies,Nevada,Multidisciplinary_Studies,40_to_64_years,31748,15352
40_to_64_years_Science_and_Engineering_Related_Fields,Nevada,Science_and_Engineering_Related_Fields,40_to_64_years,88408,10307
40_to_64_years_Business,Nevada,Business,40_to_64_years,73999,8667
40_to_64_years_Education,Nevada,Education,40_to_64_years,62581,2187
40_to_64_years_Literature_and_Languages,Nevada,Literature_and_Languages,40_to_64_years,65741,12262
40_to_64_years_Liberal_Arts_and_History,Nevada,Liberal_Arts_and_History,40_to_64_years,64117,10624
40_to_64_years_Visual_and_Performing_Arts,Nevada,Visual_and_Performing_Arts,40_to_64_years,61830,9254
40_to_64_years_Communications,Nevada,Communications,40_to_64_years,75902,13323
40_to_64_years_Other,Nevada,Other,40_to_64_years,68023,7207
Total,New_Hampshire,Total,Total,76929,1837
25_to_39_years_25_to_39_years,New_Hampshire,25_to_39_years,25_to_39_years,68184,3003
25_to_39_years_Computers_Mathematics_and_Statistics,New_Hampshire,Computers_Mathematics_and_Statistics,25_to_39_years,84025,11060
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,New_Hampshire,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,62292,7487
25_to_39_years_Physical_and_Related_Sciences,New_Hampshire,Physical_and_Related_Sciences,25_to_39_years,77774,10943
25_to_39_years_Psychology,New_Hampshire,Psychology,25_to_39_years,56110,10588
25_to_39_years_Social_Sciences,New_Hampshire,Social_Sciences,25_to_39_years,68284,11125
25_to_39_years_Engineering,New_Hampshire,Engineering,25_to_39_years,92974,7999
25_to_39_years_Multidisciplinary_Studies,New_Hampshire,Multidisciplinary_Studies,25_to_39_years,80870,15581
25_to_39_years_Science_and_Engineering_Related_Fields,New_Hampshire,Science_and_Engineering_Related_Fields,25_to_39_years,72898,2009
25_to_39_years_Business,New_Hampshire,Business,25_to_39_years,80129,9105
25_to_39_years_Education,New_Hampshire,Education,25_to_39_years,50097,4689
25_to_39_years_Literature_and_Languages,New_Hampshire,Literature_and_Languages,25_to_39_years,57242,4231
25_to_39_years_Liberal_Arts_and_History,New_Hampshire,Liberal_Arts_and_History,25_to_39_years,53622,8208
25_to_39_years_Visual_and_Performing_Arts,New_Hampshire,Visual_and_Performing_Arts,25_to_39_years,40463,6727
25_to_39_years_Communications,New_Hampshire,Communications,25_to_39_years,61724,5968
25_to_39_years_Other,New_Hampshire,Other,25_to_39_years,63065,12265
40_to_64_years_40_to_64_years,New_Hampshire,40_to_64_years,40_to_64_years,85413,2646
40_to_64_years_Computers_Mathematics_and_Statistics,New_Hampshire,Computers_Mathematics_and_Statistics,40_to_64_years,126534,12909
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,New_Hampshire,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,86500,14080
40_to_64_years_Physical_and_Related_Sciences,New_Hampshire,Physical_and_Related_Sciences,40_to_64_years,101782,31189
40_to_64_years_Psychology,New_Hampshire,Psychology,40_to_64_years,65989,5777
40_to_64_years_Social_Sciences,New_Hampshire,Social_Sciences,40_to_64_years,91702,6825
40_to_64_years_Engineering,New_Hampshire,Engineering,40_to_64_years,136174,12901
40_to_64_years_Multidisciplinary_Studies,New_Hampshire,Multidisciplinary_Studies,40_to_64_years,104288,38041
40_to_64_years_Science_and_Engineering_Related_Fields,New_Hampshire,Science_and_Engineering_Related_Fields,40_to_64_years,83125,8000
40_to_64_years_Business,New_Hampshire,Business,40_to_64_years,85777,11066
40_to_64_years_Education,New_Hampshire,Education,40_to_64_years,68894,6289
40_to_64_years_Literature_and_Languages,New_Hampshire,Literature_and_Languages,40_to_64_years,70888,6358
40_to_64_years_Liberal_Arts_and_History,New_Hampshire,Liberal_Arts_and_History,40_to_64_years,77360,17489
40_to_64_years_Visual_and_Performing_Arts,New_Hampshire,Visual_and_Performing_Arts,40_to_64_years,74013,7750
40_to_64_years_Communications,New_Hampshire,Communications,40_to_64_years,79214,12586
40_to_64_years_Other,New_Hampshire,Other,40_to_64_years,71947,6054
Total,New_Jersey,Total,Total,86543,992
25_to_39_years_25_to_39_years,New_Jersey,25_to_39_years,25_to_39_years,73867,867
25_to_39_years_Computers_Mathematics_and_Statistics,New_Jersey,Computers_Mathematics_and_Statistics,25_to_39_years,95475,6150
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,New_Jersey,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,75516,3948
25_to_39_years_Physical_and_Related_Sciences,New_Jersey,Physical_and_Related_Sciences,25_to_39_years,72437,3334
25_to_39_years_Psychology,New_Jersey,Psychology,25_to_39_years,61104,1814
25_to_39_years_Social_Sciences,New_Jersey,Social_Sciences,25_to_39_years,76594,4880
25_to_39_years_Engineering,New_Jersey,Engineering,25_to_39_years,100180,2901
25_to_39_years_Multidisciplinary_Studies,New_Jersey,Multidisciplinary_Studies,25_to_39_years,62978,11316
25_to_39_years_Science_and_Engineering_Related_Fields,New_Jersey,Science_and_Engineering_Related_Fields,25_to_39_years,74650,2324
25_to_39_years_Business,New_Jersey,Business,25_to_39_years,82725,2657
25_to_39_years_Education,New_Jersey,Education,25_to_39_years,61140,1377
25_to_39_years_Literature_and_Languages,New_Jersey,Literature_and_Languages,25_to_39_years,60880,3425
25_to_39_years_Liberal_Arts_and_History,New_Jersey,Liberal_Arts_and_History,25_to_39_years,61148,8039
25_to_39_years_Visual_and_Performing_Arts,New_Jersey,Visual_and_Performing_Arts,25_to_39_years,60789,4903
25_to_39_years_Communications,New_Jersey,Communications,25_to_39_years,72325,4212
25_to_39_years_Other,New_Jersey,Other,25_to_39_years,63324,3023
40_to_64_years_40_to_64_years,New_Jersey,40_to_64_years,40_to_64_years,100229,1040
40_to_64_years_Computers_Mathematics_and_Statistics,New_Jersey,Computers_Mathematics_and_Statistics,40_to_64_years,131492,7322
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,New_Jersey,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,114250,8443
40_to_64_years_Physical_and_Related_Sciences,New_Jersey,Physical_and_Related_Sciences,40_to_64_years,108230,8512
40_to_64_years_Psychology,New_Jersey,Psychology,40_to_64_years,82640,3748
40_to_64_years_Social_Sciences,New_Jersey,Social_Sciences,40_to_64_years,103504,3702
40_to_64_years_Engineering,New_Jersey,Engineering,40_to_64_years,142412,8034
40_to_64_years_Multidisciplinary_Studies,New_Jersey,Multidisciplinary_Studies,40_to_64_years,72409,14091
40_to_64_years_Science_and_Engineering_Related_Fields,New_Jersey,Science_and_Engineering_Related_Fields,40_to_64_years,102497,2607
40_to_64_years_Business,New_Jersey,Business,40_to_64_years,102984,2339
40_to_64_years_Education,New_Jersey,Education,40_to_64_years,77443,3170
40_to_64_years_Literature_and_Languages,New_Jersey,Literature_and_Languages,40_to_64_years,82088,5593
40_to_64_years_Liberal_Arts_and_History,New_Jersey,Liberal_Arts_and_History,40_to_64_years,89072,5729
40_to_64_years_Visual_and_Performing_Arts,New_Jersey,Visual_and_Performing_Arts,40_to_64_years,75182,5439
40_to_64_years_Communications,New_Jersey,Communications,40_to_64_years,84759,7172
40_to_64_years_Other,New_Jersey,Other,40_to_64_years,85312,4218
Total,New_Mexico,Total,Total,64419,1558
25_to_39_years_25_to_39_years,New_Mexico,25_to_39_years,25_to_39_years,56948,2616
25_to_39_years_Computers_Mathematics_and_Statistics,New_Mexico,Computers_Mathematics_and_Statistics,25_to_39_years,73382,17606
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,New_Mexico,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,60151,11304
25_to_39_years_Physical_and_Related_Sciences,New_Mexico,Physical_and_Related_Sciences,25_to_39_years,66155,28865
25_to_39_years_Psychology,New_Mexico,Psychology,25_to_39_years,46575,8503
25_to_39_years_Social_Sciences,New_Mexico,Social_Sciences,25_to_39_years,53439,4593
25_to_39_years_Engineering,New_Mexico,Engineering,25_to_39_years,77362,6873
25_to_39_years_Multidisciplinary_Studies,New_Mexico,Multidisciplinary_Studies,25_to_39_years,33750,31510
25_to_39_years_Science_and_Engineering_Related_Fields,New_Mexico,Science_and_Engineering_Related_Fields,25_to_39_years,62345,8118
25_to_39_years_Business,New_Mexico,Business,25_to_39_years,60434,5205
25_to_39_years_Education,New_Mexico,Education,25_to_39_years,45613,11497
25_to_39_years_Literature_and_Languages,New_Mexico,Literature_and_Languages,25_to_39_years,47459,11291
25_to_39_years_Liberal_Arts_and_History,New_Mexico,Liberal_Arts_and_History,25_to_39_years,55361,14011
25_to_39_years_Visual_and_Performing_Arts,New_Mexico,Visual_and_Performing_Arts,25_to_39_years,43699,4824
25_to_39_years_Communications,New_Mexico,Communications,25_to_39_years,46946,7302
25_to_39_years_Other,New_Mexico,Other,25_to_39_years,60006,8047
40_to_64_years_40_to_64_years,New_Mexico,40_to_64_years,40_to_64_years,72989,3488
40_to_64_years_Computers_Mathematics_and_Statistics,New_Mexico,Computers_Mathematics_and_Statistics,40_to_64_years,101304,13141
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,New_Mexico,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,96502,10928
40_to_64_years_Physical_and_Related_Sciences,New_Mexico,Physical_and_Related_Sciences,40_to_64_years,116123,23248
40_to_64_years_Psychology,New_Mexico,Psychology,40_to_64_years,65885,7781
40_to_64_years_Social_Sciences,New_Mexico,Social_Sciences,40_to_64_years,62628,8607
40_to_64_years_Engineering,New_Mexico,Engineering,40_to_64_years,105492,9932
40_to_64_years_Multidisciplinary_Studies,New_Mexico,Multidisciplinary_Studies,40_to_64_years,66070,52878
40_to_64_years_Science_and_Engineering_Related_Fields,New_Mexico,Science_and_Engineering_Related_Fields,40_to_64_years,82594,7672
40_to_64_years_Business,New_Mexico,Business,40_to_64_years,85658,8408
40_to_64_years_Education,New_Mexico,Education,40_to_64_years,59911,4991
40_to_64_years_Literature_and_Languages,New_Mexico,Literature_and_Languages,40_to_64_years,61589,13662
40_to_64_years_Liberal_Arts_and_History,New_Mexico,Liberal_Arts_and_History,40_to_64_years,59782,9061
40_to_64_years_Visual_and_Performing_Arts,New_Mexico,Visual_and_Performing_Arts,40_to_64_years,51499,5907
40_to_64_years_Communications,New_Mexico,Communications,40_to_64_years,69262,12638
40_to_64_years_Other,New_Mexico,Other,40_to_64_years,55360,11050
Total,New_York,Total,Total,80342,393
25_to_39_years_25_to_39_years,New_York,25_to_39_years,25_to_39_years,72125,701
25_to_39_years_Computers_Mathematics_and_Statistics,New_York,Computers_Mathematics_and_Statistics,25_to_39_years,89964,5351
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,New_York,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,71987,2723
25_to_39_years_Physical_and_Related_Sciences,New_York,Physical_and_Related_Sciences,25_to_39_years,70486,3523
25_to_39_years_Psychology,New_York,Psychology,25_to_39_years,60994,2112
25_to_39_years_Social_Sciences,New_York,Social_Sciences,25_to_39_years,81588,2315
25_to_39_years_Engineering,New_York,Engineering,25_to_39_years,89557,2791
25_to_39_years_Multidisciplinary_Studies,New_York,Multidisciplinary_Studies,25_to_39_years,63991,5789
25_to_39_years_Science_and_Engineering_Related_Fields,New_York,Science_and_Engineering_Related_Fields,25_to_39_years,75637,1505
25_to_39_years_Business,New_York,Business,25_to_39_years,77466,2772
25_to_39_years_Education,New_York,Education,25_to_39_years,62873,1966
25_to_39_years_Literature_and_Languages,New_York,Literature_and_Languages,25_to_39_years,66954,4897
25_to_39_years_Liberal_Arts_and_History,New_York,Liberal_Arts_and_History,25_to_39_years,65001,4469
25_to_39_years_Visual_and_Performing_Arts,New_York,Visual_and_Performing_Arts,25_to_39_years,58134,3508
25_to_39_years_Communications,New_York,Communications,25_to_39_years,70303,2969
25_to_39_years_Other,New_York,Other,25_to_39_years,62930,1755
40_to_64_years_40_to_64_years,New_York,40_to_64_years,40_to_64_years,89852,1245
40_to_64_years_Computers_Mathematics_and_Statistics,New_York,Computers_Mathematics_and_Statistics,40_to_64_years,106989,3624
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,New_York,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,103852,3861
40_to_64_years_Physical_and_Related_Sciences,New_York,Physical_and_Related_Sciences,40_to_64_years,97086,8073
40_to_64_years_Psychology,New_York,Psychology,40_to_64_years,84325,3869
40_to_64_years_Social_Sciences,New_York,Social_Sciences,40_to_64_years,101486,1822
40_to_64_years_Engineering,New_York,Engineering,40_to_64_years,115341,6297
40_to_64_years_Multidisciplinary_Studies,New_York,Multidisciplinary_Studies,40_to_64_years,78066,11471
40_to_64_years_Science_and_Engineering_Related_Fields,New_York,Science_and_Engineering_Related_Fields,40_to_64_years,91997,2011
40_to_64_years_Business,New_York,Business,40_to_64_years,91748,2350
40_to_64_years_Education,New_York,Education,40_to_64_years,77467,3019
40_to_64_years_Literature_and_Languages,New_York,Literature_and_Languages,40_to_64_years,85451,5631
40_to_64_years_Liberal_Arts_and_History,New_York,Liberal_Arts_and_History,40_to_64_years,82854,4552
40_to_64_years_Visual_and_Performing_Arts,New_York,Visual_and_Performing_Arts,40_to_64_years,71194,5405
40_to_64_years_Communications,New_York,Communications,40_to_64_years,86427,5705
40_to_64_years_Other,New_York,Other,40_to_64_years,71198,3945
Total,North_Carolina,Total,Total,65975,1029
25_to_39_years_25_to_39_years,North_Carolina,25_to_39_years,25_to_39_years,59523,1264
25_to_39_years_Computers_Mathematics_and_Statistics,North_Carolina,Computers_Mathematics_and_Statistics,25_to_39_years,82096,5076
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,North_Carolina,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,63807,3004
25_to_39_years_Physical_and_Related_Sciences,North_Carolina,Physical_and_Related_Sciences,25_to_39_years,63278,3347
25_to_39_years_Psychology,North_Carolina,Psychology,25_to_39_years,51591,3711
25_to_39_years_Social_Sciences,North_Carolina,Social_Sciences,25_to_39_years,57560,5935
25_to_39_years_Engineering,North_Carolina,Engineering,25_to_39_years,93959,5365
25_to_39_years_Multidisciplinary_Studies,North_Carolina,Multidisciplinary_Studies,25_to_39_years,52066,7908
25_to_39_years_Science_and_Engineering_Related_Fields,North_Carolina,Science_and_Engineering_Related_Fields,25_to_39_years,61101,1895
25_to_39_years_Business,North_Carolina,Business,25_to_39_years,66975,3542
25_to_39_years_Education,North_Carolina,Education,25_to_39_years,45932,1442
25_to_39_years_Literature_and_Languages,North_Carolina,Literature_and_Languages,25_to_39_years,50314,4426
25_to_39_years_Liberal_Arts_and_History,North_Carolina,Liberal_Arts_and_History,25_to_39_years,51708,4267
25_to_39_years_Visual_and_Performing_Arts,North_Carolina,Visual_and_Performing_Arts,25_to_39_years,48383,4135
25_to_39_years_Communications,North_Carolina,Communications,25_to_39_years,58296,6377
25_to_39_years_Other,North_Carolina,Other,25_to_39_years,51086,1713
40_to_64_years_40_to_64_years,North_Carolina,40_to_64_years,40_to_64_years,73338,1482
40_to_64_years_Computers_Mathematics_and_Statistics,North_Carolina,Computers_Mathematics_and_Statistics,40_to_64_years,104127,4738
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,North_Carolina,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,91967,6828
40_to_64_years_Physical_and_Related_Sciences,North_Carolina,Physical_and_Related_Sciences,40_to_64_years,82354,9801
40_to_64_years_Psychology,North_Carolina,Psychology,40_to_64_years,61945,2781
40_to_64_years_Social_Sciences,North_Carolina,Social_Sciences,40_to_64_years,75604,4347
40_to_64_years_Engineering,North_Carolina,Engineering,40_to_64_years,123576,7068
40_to_64_years_Multidisciplinary_Studies,North_Carolina,Multidisciplinary_Studies,40_to_64_years,56682,25383
40_to_64_years_Science_and_Engineering_Related_Fields,North_Carolina,Science_and_Engineering_Related_Fields,40_to_64_years,80392,3523
40_to_64_years_Business,North_Carolina,Business,40_to_64_years,80810,2635
40_to_64_years_Education,North_Carolina,Education,40_to_64_years,54046,2206
40_to_64_years_Literature_and_Languages,North_Carolina,Literature_and_Languages,40_to_64_years,60335,2887
40_to_64_years_Liberal_Arts_and_History,North_Carolina,Liberal_Arts_and_History,40_to_64_years,64984,3532
40_to_64_years_Visual_and_Performing_Arts,North_Carolina,Visual_and_Performing_Arts,40_to_64_years,54264,4134
40_to_64_years_Communications,North_Carolina,Communications,40_to_64_years,73079,8716
40_to_64_years_Other,North_Carolina,Other,40_to_64_years,61043,1597
Total,North_Dakota,Total,Total,61996,1677
25_to_39_years_25_to_39_years,North_Dakota,25_to_39_years,25_to_39_years,56707,1979
25_to_39_years_Computers_Mathematics_and_Statistics,North_Dakota,Computers_Mathematics_and_Statistics,25_to_39_years,74766,9576
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,North_Dakota,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,58769,7907
25_to_39_years_Physical_and_Related_Sciences,North_Dakota,Physical_and_Related_Sciences,25_to_39_years,65282,29379
25_to_39_years_Psychology,North_Dakota,Psychology,25_to_39_years,53754,22380
25_to_39_years_Social_Sciences,North_Dakota,Social_Sciences,25_to_39_years,54432,11541
25_to_39_years_Engineering,North_Dakota,Engineering,25_to_39_years,68822,13955
25_to_39_years_Multidisciplinary_Studies,North_Dakota,Multidisciplinary_Studies,25_to_39_years,45994,18834
25_to_39_years_Science_and_Engineering_Related_Fields,North_Dakota,Science_and_Engineering_Related_Fields,25_to_39_years,58860,2391
25_to_39_years_Business,North_Dakota,Business,25_to_39_years,60238,6526
25_to_39_years_Education,North_Dakota,Education,25_to_39_years,49603,3507
25_to_39_years_Literature_and_Languages,North_Dakota,Literature_and_Languages,25_to_39_years,54589,18187
25_to_39_years_Liberal_Arts_and_History,North_Dakota,Liberal_Arts_and_History,25_to_39_years,46055,8088
25_to_39_years_Visual_and_Performing_Arts,North_Dakota,Visual_and_Performing_Arts,25_to_39_years,51536,35761
25_to_39_years_Communications,North_Dakota,Communications,25_to_39_years,50737,1471
25_to_39_years_Other,North_Dakota,Other,25_to_39_years,62806,6691
40_to_64_years_40_to_64_years,North_Dakota,40_to_64_years,40_to_64_years,68738,3712
40_to_64_years_Computers_Mathematics_and_Statistics,North_Dakota,Computers_Mathematics_and_Statistics,40_to_64_years,89667,46243
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,North_Dakota,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,82507,16625
40_to_64_years_Physical_and_Related_Sciences,North_Dakota,Physical_and_Related_Sciences,40_to_64_years,101827,77863
40_to_64_years_Psychology,North_Dakota,Psychology,40_to_64_years,65472,49413
40_to_64_years_Social_Sciences,North_Dakota,Social_Sciences,40_to_64_years,57481,21626
40_to_64_years_Engineering,North_Dakota,Engineering,40_to_64_years,109972,55828
40_to_64_years_Multidisciplinary_Studies,North_Dakota,Multidisciplinary_Studies,40_to_64_years,,
40_to_64_years_Science_and_Engineering_Related_Fields,North_Dakota,Science_and_Engineering_Related_Fields,40_to_64_years,67637,6575
40_to_64_years_Business,North_Dakota,Business,40_to_64_years,77267,9880
40_to_64_years_Education,North_Dakota,Education,40_to_64_years,63815,3830
40_to_64_years_Literature_and_Languages,North_Dakota,Literature_and_Languages,40_to_64_years,59949,20305
40_to_64_years_Liberal_Arts_and_History,North_Dakota,Liberal_Arts_and_History,40_to_64_years,66964,31777
40_to_64_years_Visual_and_Performing_Arts,North_Dakota,Visual_and_Performing_Arts,40_to_64_years,54690,12699
40_to_64_years_Communications,North_Dakota,Communications,40_to_64_years,66883,26535
40_to_64_years_Other,North_Dakota,Other,40_to_64_years,63003,6741
Total,Ohio,Total,Total,70742,568
25_to_39_years_25_to_39_years,Ohio,25_to_39_years,25_to_39_years,60840,658
25_to_39_years_Computers_Mathematics_and_Statistics,Ohio,Computers_Mathematics_and_Statistics,25_to_39_years,78926,5836
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Ohio,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,58252,3511
25_to_39_years_Physical_and_Related_Sciences,Ohio,Physical_and_Related_Sciences,25_to_39_years,60023,4326
25_to_39_years_Psychology,Ohio,Psychology,25_to_39_years,49185,3315
25_to_39_years_Social_Sciences,Ohio,Social_Sciences,25_to_39_years,60992,2951
25_to_39_years_Engineering,Ohio,Engineering,25_to_39_years,84890,2207
25_to_39_years_Multidisciplinary_Studies,Ohio,Multidisciplinary_Studies,25_to_39_years,58916,9007
25_to_39_years_Science_and_Engineering_Related_Fields,Ohio,Science_and_Engineering_Related_Fields,25_to_39_years,64688,2037
25_to_39_years_Business,Ohio,Business,25_to_39_years,70180,2130
25_to_39_years_Education,Ohio,Education,25_to_39_years,50749,1317
25_to_39_years_Literature_and_Languages,Ohio,Literature_and_Languages,25_to_39_years,49865,3535
25_to_39_years_Liberal_Arts_and_History,Ohio,Liberal_Arts_and_History,25_to_39_years,52745,4662
25_to_39_years_Visual_and_Performing_Arts,Ohio,Visual_and_Performing_Arts,25_to_39_years,42701,2672
25_to_39_years_Communications,Ohio,Communications,25_to_39_years,54558,2727
25_to_39_years_Other,Ohio,Other,25_to_39_years,52706,2481
40_to_64_years_40_to_64_years,Ohio,40_to_64_years,40_to_64_years,80415,650
40_to_64_years_Computers_Mathematics_and_Statistics,Ohio,Computers_Mathematics_and_Statistics,40_to_64_years,104727,4013
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,Ohio,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,89883,3529
40_to_64_years_Physical_and_Related_Sciences,Ohio,Physical_and_Related_Sciences,40_to_64_years,96513,7039
40_to_64_years_Psychology,Ohio,Psychology,40_to_64_years,66377,4477
40_to_64_years_Social_Sciences,Ohio,Social_Sciences,40_to_64_years,86062,6906
40_to_64_years_Engineering,Ohio,Engineering,40_to_64_years,121262,5234
40_to_64_years_Multidisciplinary_Studies,Ohio,Multidisciplinary_Studies,40_to_64_years,64915,6558
40_to_64_years_Science_and_Engineering_Related_Fields,Ohio,Science_and_Engineering_Related_Fields,40_to_64_years,80304,2029
40_to_64_years_Business,Ohio,Business,40_to_64_years,85609,2268
40_to_64_years_Education,Ohio,Education,40_to_64_years,70845,1227
40_to_64_years_Literature_and_Languages,Ohio,Literature_and_Languages,40_to_64_years,67329,6086
40_to_64_years_Liberal_Arts_and_History,Ohio,Liberal_Arts_and_History,40_to_64_years,63152,3957
40_to_64_years_Visual_and_Performing_Arts,Ohio,Visual_and_Performing_Arts,40_to_64_years,58653,5075
40_to_64_years_Communications,Ohio,Communications,40_to_64_years,69322,2762
40_to_64_years_Other,Ohio,Other,40_to_64_years,64657,2597
Total,Oklahoma,Total,Total,60342,858
25_to_39_years_25_to_39_years,Oklahoma,25_to_39_years,25_to_39_years,53548,1137
25_to_39_years_Computers_Mathematics_and_Statistics,Oklahoma,Computers_Mathematics_and_Statistics,25_to_39_years,63888,11961
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Oklahoma,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,59266,5149
25_to_39_years_Physical_and_Related_Sciences,Oklahoma,Physical_and_Related_Sciences,25_to_39_years,54525,12303
25_to_39_years_Psychology,Oklahoma,Psychology,25_to_39_years,41809,3309
25_to_39_years_Social_Sciences,Oklahoma,Social_Sciences,25_to_39_years,54556,4666
25_to_39_years_Engineering,Oklahoma,Engineering,25_to_39_years,76970,4957
25_to_39_years_Multidisciplinary_Studies,Oklahoma,Multidisciplinary_Studies,25_to_39_years,46045,16385
25_to_39_years_Science_and_Engineering_Related_Fields,Oklahoma,Science_and_Engineering_Related_Fields,25_to_39_years,57082,3567
